%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.fix_quality,field.time,field.zone,field.letter
1582918363095709642,45,0,,42.3372268677,-71.0868759155,-10.7969999313,328081.5625,4689328.5,5.0,193243.0,19,T
1582918363293985946,46,0,,42.3372268677,-71.0868759155,-10.75,328081.6875,4689328.5,5.0,193243.203125,19,T
1582918363492698042,47,0,,42.337223053,-71.0868759155,-10.625,328081.8125,4689328.0,5.0,193243.40625,19,T
1582918363692565746,48,0,,42.337223053,-71.0868759155,-10.5710000992,328081.90625,4689328.0,5.0,193243.59375,19,T
1582918363900559626,49,0,,42.337223053,-71.0868759155,-10.5129995346,328082.03125,4689327.5,5.0,193243.796875,19,T
1582918364217822138,50,0,,42.3372192383,-71.0868682861,-10.4370002747,328082.125,4689327.5,5.0,193244.0,19,T
1582918364293243388,51,0,,42.3372192383,-71.0868682861,-10.3850002289,328082.25,4689327.5,5.0,193244.203125,19,T
1582918364491411765,52,0,,42.3372154236,-71.0868682861,-10.3100004196,328082.375,4689327.0,5.0,193244.40625,19,T
1582918364711985748,53,0,,42.3372154236,-71.0868682861,-10.2370004654,328082.46875,4689327.0,5.0,193244.59375,19,T
1582918364901425791,54,0,,42.3372116089,-71.0868682861,-10.2159996033,328082.5625,4689327.0,5.0,193244.796875,19,T
1582918365089345124,55,0,,42.3372116089,-71.0868682861,-10.1660003662,328082.65625,4689326.5,5.0,193245.0,19,T
1582918365288217500,56,0,,42.3372077942,-71.0868606567,-10.0810003281,328082.78125,4689326.5,5.0,193245.203125,19,T
1582918365627570840,57,0,,42.3372077942,-71.0868606567,-10.0290002823,328082.875,4689326.0,5.0,193245.40625,19,T
1582918365692272876,58,0,,42.3372039795,-71.0868606567,-9.96199989319,328083.0,4689326.0,5.0,193245.59375,19,T
1582918365893202073,59,0,,42.3372039795,-71.0868606567,-9.89999961853,328083.125,4689326.0,5.0,193245.796875,19,T
1582918366093577077,60,0,,42.3372039795,-71.0868606567,-9.90400028229,328083.25,4689325.5,5.0,193246.0,19,T
1582918366289934823,61,0,,42.3372001648,-71.0868530273,-9.89099979401,328083.375,4689325.5,5.0,193246.203125,19,T
1582918366487438390,62,0,,42.3372001648,-71.0868530273,-9.8109998703,328083.46875,4689325.0,5.0,193246.40625,19,T
1582918366709493454,63,0,,42.3371963501,-71.0868530273,-9.72999954224,328083.5625,4689325.0,5.0,193246.59375,19,T
1582918366886101525,64,0,,42.3371963501,-71.0868530273,-9.74400043488,328083.6875,4689325.0,5.0,193246.796875,19,T
1582918367093526152,65,0,,42.3371925354,-71.0868530273,-9.66100025177,328083.8125,4689324.5,5.0,193247.0,19,T
1582918367289799143,66,0,,42.3371925354,-71.0868530273,-9.61900043488,328083.9375,4689324.5,5.0,193247.203125,19,T
1582918367492697597,67,0,,42.3371925354,-71.0868453979,-9.58399963379,328084.03125,4689324.5,5.0,193247.40625,19,T
1582918367701666992,68,0,,42.3371887207,-71.0868453979,-9.50699996948,328084.125,4689324.0,5.0,193247.59375,19,T
1582918367888046730,69,0,,42.3371887207,-71.0868453979,-9.46000003815,328084.21875,4689324.0,5.0,193247.796875,19,T
1582918368092853942,70,0,,42.337184906,-71.0868453979,-9.44999980927,328084.3125,4689324.0,5.0,193248.0,19,T
1582918368291571310,71,0,,42.337184906,-71.0868453979,-9.39299964905,328084.4375,4689323.5,5.0,193248.203125,19,T
1582918368496811150,72,0,,42.3371810913,-71.0868377686,-9.38399982452,328084.5625,4689323.5,5.0,193248.40625,19,T
1582918368705853540,73,0,,42.3371810913,-71.0868377686,-9.35200023651,328084.65625,4689323.0,5.0,193248.59375,19,T
1582918368888243031,74,0,,42.3371810913,-71.0868377686,-9.29199981689,328084.78125,4689323.0,5.0,193248.796875,19,T
1582918369087460511,75,0,,42.3371772766,-71.0868377686,-9.23799991608,328084.875,4689323.0,5.0,193249.0,19,T
1582918369294449864,76,0,,42.3371772766,-71.0868377686,-9.23099994659,328084.96875,4689322.5,5.0,193249.203125,19,T
1582918369490911612,77,0,,42.3371734619,-71.0868377686,-9.16600036621,328085.0625,4689322.5,5.0,193249.40625,19,T
1582918369690066230,78,0,,42.3371734619,-71.0868301392,-9.09500026703,328085.15625,4689322.5,5.0,193249.59375,19,T
1582918369887218141,79,0,,42.3371734619,-71.0868301392,-9.04399967194,328085.25,4689322.0,5.0,193249.796875,19,T
1582918370096956246,80,0,,42.3371696472,-71.0868301392,-8.96500015259,328085.375,4689322.0,5.0,193250.0,19,T
1582918370286988233,81,0,,42.3371696472,-71.0868301392,-8.89200019836,328085.46875,4689322.0,5.0,193250.203125,19,T
1582918370496125417,82,0,,42.3371658325,-71.0868301392,-8.83100032806,328085.59375,4689321.5,5.0,193250.40625,19,T
1582918370694498584,83,0,,42.3371658325,-71.0868301392,-8.77299976349,328085.6875,4689321.5,5.0,193250.59375,19,T
1582918370897475122,84,0,,42.3371620178,-71.0868225098,-8.70199966431,328085.78125,4689321.0,5.0,193250.796875,19,T
1582918371246204161,85,0,,42.3371620178,-71.0868225098,-8.65799999237,328085.875,4689321.0,5.0,193251.0,19,T
1582918371298311529,86,0,,42.3371620178,-71.0868225098,-8.57199954987,328085.96875,4689321.0,5.0,193251.203125,19,T
1582918371493304538,87,0,,42.3371582031,-71.0868225098,-8.50800037384,328086.0625,4689321.0,5.0,193251.40625,19,T
1582918371688730205,88,0,,42.3371582031,-71.0868225098,-8.5,328086.15625,4689320.5,5.0,193251.59375,19,T
1582918371900636262,89,0,,42.3371582031,-71.0868225098,-8.47399997711,328086.28125,4689320.5,5.0,193251.796875,19,T
1582918372099990998,90,0,,42.3371543884,-71.0868148804,-8.36499977112,328086.375,4689320.5,5.0,193252.0,19,T
1582918372292823234,91,0,,42.3371543884,-71.0868148804,-8.34300041199,328086.46875,4689320.0,5.0,193252.203125,19,T
1582918372494160050,92,0,,42.3371543884,-71.0868148804,-8.32499980927,328086.5625,4689320.0,5.0,193252.40625,19,T
1582918372711686646,93,0,,42.3371505737,-71.0868148804,-8.24800014496,328086.625,4689320.0,5.0,193252.59375,19,T
1582918372891293201,94,0,,42.3371505737,-71.0868148804,-8.20199966431,328086.71875,4689320.0,5.0,193252.796875,19,T
1582918373089084838,95,0,,42.3371505737,-71.0868148804,-8.19699954987,328086.8125,4689320.0,5.0,193253.0,19,T
1582918373299457081,96,0,,42.3371505737,-71.0868148804,-8.15200042725,328086.90625,4689320.0,5.0,193253.203125,19,T
1582918373493599436,97,0,,42.3371505737,-71.086807251,-8.10200023651,328087.03125,4689319.5,5.0,193253.40625,19,T
1582918373691948959,98,0,,42.3371505737,-71.086807251,-8.08500003815,328087.15625,4689319.5,5.0,193253.59375,19,T
1582918373886419745,99,0,,42.3371505737,-71.086807251,-8.05300045013,328087.28125,4689319.5,5.0,193253.796875,19,T
1582918374100740885,100,0,,42.3371505737,-71.086807251,-8.03400039673,328087.40625,4689319.5,5.0,193254.0,19,T
1582918374292967103,101,0,,42.3371505737,-71.086807251,-8.02600002289,328087.53125,4689319.5,5.0,193254.203125,19,T
1582918374495373157,102,0,,42.3371505737,-71.0867996216,-7.96700000763,328087.65625,4689320.0,5.0,193254.40625,19,T
1582918374687479650,103,0,,42.3371505737,-71.0867996216,-7.92000007629,328087.8125,4689320.0,5.0,193254.59375,19,T
1582918374894236279,104,0,,42.3371505737,-71.0867996216,-7.89499998093,328087.9375,4689320.0,5.0,193254.796875,19,T
1582918375092149894,105,0,,42.3371505737,-71.0867996216,-7.8060002327,328088.0625,4689320.0,5.0,193255.0,19,T
1582918375454485594,106,0,,42.3371543884,-71.0867996216,-7.757999897,328088.1875,4689320.0,5.0,193255.203125,19,T
1582918375660790842,107,0,,42.3371543884,-71.0867919922,-7.75099992752,328088.34375,4689320.0,5.0,193255.40625,19,T
1582918375716228962,108,0,,42.3371543884,-71.0867919922,-7.68499994278,328088.5,4689320.0,5.0,193255.59375,19,T
1582918375904859070,109,0,,42.3371543884,-71.0867919922,-7.65600013733,328088.65625,4689320.0,5.0,193255.796875,19,T
1582918376108718388,110,0,,42.3371543884,-71.0867919922,-7.64200019836,328088.84375,4689320.5,5.0,193256.0,19,T
1582918376299058342,111,0,,42.3371582031,-71.0867843628,-7.58300018311,328089.0,4689320.5,5.0,193256.203125,19,T
1582918376496698926,112,0,,42.3371582031,-71.0867843628,-7.60200023651,328089.1875,4689320.5,5.0,193256.40625,19,T
1582918376695793750,113,0,,42.3371582031,-71.0867843628,-7.55100011826,328089.34375,4689320.5,5.0,193256.59375,19,T
1582918376898641244,114,0,,42.3371582031,-71.0867843628,-7.49399995804,328089.46875,4689320.5,5.0,193256.796875,19,T
1582918377103473077,115,0,,42.3371620178,-71.0867767334,-7.48699998856,328089.65625,4689321.0,5.0,193257.0,19,T
1582918377292862613,116,0,,42.3371620178,-71.0867767334,-7.41599988937,328089.84375,4689321.0,5.0,193257.203125,19,T
1582918377490977728,117,0,,42.3371620178,-71.0867767334,-7.37900018692,328090.0,4689321.0,5.0,193257.40625,19,T
1582918377693052734,118,0,,42.3371620178,-71.086769104,-7.35699987411,328090.15625,4689321.0,5.0,193257.59375,19,T
1582918377896174944,119,0,,42.3371658325,-71.086769104,-7.30999994278,328090.3125,4689321.0,5.0,193257.796875,19,T
1582918378095361611,120,0,,42.3371658325,-71.086769104,-7.28000020981,328090.46875,4689321.5,5.0,193258.0,19,T
1582918378292256228,121,0,,42.3371658325,-71.086769104,-7.25099992752,328090.65625,4689321.5,5.0,193258.203125,19,T
1582918378496896709,122,0,,42.3371658325,-71.0867614746,-7.17500019073,328090.8125,4689321.5,5.0,193258.40625,19,T
1582918378695585524,123,0,,42.3371696472,-71.0867614746,-7.17500019073,328090.96875,4689321.5,5.0,193258.59375,19,T
1582918378904132886,124,0,,42.3371696472,-71.0867614746,-7.15500020981,328091.125,4689322.0,5.0,193258.796875,19,T
1582918379095043629,125,0,,42.3371696472,-71.0867614746,-7.13100004196,328091.3125,4689322.0,5.0,193259.0,19,T
1582918379296847537,126,0,,42.3371734619,-71.0867538452,-7.11199998856,328091.46875,4689322.0,5.0,193259.203125,19,T
1582918379493064029,127,0,,42.3371734619,-71.0867538452,-7.14400005341,328091.65625,4689322.0,5.0,193259.40625,19,T
1582918379693303246,128,0,,42.3371734619,-71.0867538452,-7.09700012207,328091.84375,4689322.5,5.0,193259.59375,19,T
1582918379899688942,129,0,,42.3371772766,-71.0867538452,-7.0609998703,328092.0,4689322.5,5.0,193259.796875,19,T
1582918380104323995,130,0,,42.3371772766,-71.0867462158,-7.0609998703,328092.1875,4689322.5,5.0,193300.0,19,T
1582918380293914354,131,0,,42.3371772766,-71.0867462158,-7.03399991989,328092.34375,4689322.5,5.0,193300.203125,19,T
1582918380656890065,132,0,,42.3371810913,-71.0867462158,-7.03900003433,328092.53125,4689323.0,5.0,193300.40625,19,T
1582918380706341252,133,0,,42.3371810913,-71.0867385864,-7.02500009537,328092.6875,4689323.0,5.0,193300.59375,19,T
1582918380900604666,134,0,,42.3371810913,-71.0867385864,-6.93200016022,328092.875,4689323.0,5.0,193300.796875,19,T
1582918381094784005,135,0,,42.337184906,-71.0867385864,-6.92600011826,328093.03125,4689323.0,5.0,193301.0,19,T
1582918381292996901,136,0,,42.337184906,-71.0867385864,-6.90199995041,328093.1875,4689323.5,5.0,193301.203125,19,T
1582918381493116494,137,0,,42.337184906,-71.086730957,-6.86299991608,328093.375,4689323.5,5.0,193301.40625,19,T
1582918381699211240,138,0,,42.337184906,-71.086730957,-6.84399986267,328093.53125,4689323.5,5.0,193301.59375,19,T
1582918381900987386,139,0,,42.3371887207,-71.086730957,-6.82100009918,328093.71875,4689323.5,5.0,193301.796875,19,T
1582918382114734254,140,0,,42.3371887207,-71.086730957,-6.74800014496,328093.90625,4689324.0,5.0,193302.0,19,T
1582918382293377405,141,0,,42.3371887207,-71.0867233276,-6.7389998436,328094.0625,4689324.0,5.0,193302.203125,19,T
1582918382504413412,142,0,,42.3371925354,-71.0867233276,-6.72100019455,328094.28125,4689324.0,5.0,193302.40625,19,T
1582918382705394602,143,0,,42.3371925354,-71.0867233276,-6.65299987793,328094.46875,4689324.5,5.0,193302.59375,19,T
1582918382909430049,144,0,,42.3371925354,-71.0867156982,-6.625,328094.625,4689324.5,5.0,193302.796875,19,T
1582918383099366565,145,0,,42.3371963501,-71.0867156982,-6.60900020599,328094.8125,4689324.5,5.0,193303.0,19,T
1582918383298209140,146,0,,42.3371963501,-71.0867156982,-6.53800010681,328095.0,4689324.5,5.0,193303.203125,19,T
