%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1580426897262669557,57,0,,42.3433609009,-71.0877761841,6.5,328024.5,4690011.5,19,T
1580426898264652072,58,0,,42.3433609009,-71.0877761841,6.5,328024.5,4690011.5,19,T
1580426899264273783,59,0,,42.3433609009,-71.0877761841,6.5,328024.5,4690011.5,19,T
1580426900330018581,60,0,,42.3433609009,-71.0877761841,6.5,328024.5,4690011.5,19,T
1580426901264228990,61,0,,42.3433609009,-71.0877761841,6.5,328024.34375,4690011.5,19,T
1580426902264164484,62,0,,42.3433609009,-71.0877761841,6.5,328024.34375,4690011.5,19,T
1580426903264020216,63,0,,42.3433609009,-71.0877761841,6.5,328024.34375,4690011.5,19,T
1580426904264447475,64,0,,42.3433609009,-71.0877761841,6.5,328024.34375,4690011.5,19,T
1580426905332126532,65,0,,42.3433609009,-71.0877761841,6.5,328024.34375,4690011.5,19,T
1580426906264504326,66,0,,42.3433609009,-71.0877761841,6.5,328024.34375,4690011.5,19,T
1580426907263204647,67,0,,42.3433609009,-71.0877761841,6.5,328024.34375,4690011.5,19,T
1580426908263367694,68,0,,42.3433609009,-71.0877761841,6.5,328024.34375,4690011.5,19,T
1580426909263404009,69,0,,42.3433609009,-71.0877838135,6.80000019073,328023.65625,4690011.5,19,T
1580426910330492533,70,0,,42.3433609009,-71.0877990723,7.09999990463,328022.6875,4690011.5,19,T
1580426911288754680,71,0,,42.3433609009,-71.0877914429,7.09999990463,328022.84375,4690011.5,19,T
1580426912263611600,72,0,,42.3433609009,-71.0877914429,7.09999990463,328022.84375,4690011.5,19,T
1580426913264344060,73,0,,42.3433609009,-71.0877914429,7.09999990463,328022.84375,4690011.5,19,T
1580426914263821480,74,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426915337325330,75,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426916264781682,76,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426917264545557,77,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426918263526546,78,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426919262335704,79,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426920328391709,80,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426921264464199,81,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426922263179293,82,0,,42.3433609009,-71.0877914429,7.19999980927,328022.84375,4690011.5,19,T
1580426923262587152,83,0,,42.3433609009,-71.0878067017,7.5,328022.0,4690011.5,19,T
1580426924262428876,84,0,,42.3433570862,-71.0878143311,8.10000038147,328021.03125,4690011.0,19,T
1580426925331159589,85,0,,42.3433570862,-71.0878143311,8.10000038147,328021.1875,4690011.0,19,T
1580426926300313658,86,0,,42.3433570862,-71.0878143311,8.10000038147,328021.1875,4690011.0,19,T
